documento_origen.txt;categoria;archivo_chunk;titulo_tema;responsable
Guia_Envios_Entregas_AntiumGear.txt;Envíos y Entregas;Guia_Envios_Entregas_AntiumGear_chunk1.txt;Cobertura Nacional y Alianzas Logísticas Directas  y Modalidades de Despacho y Tiempos de Procesamiento ;Área Operaciones
Guia_Envios_Entregas_AntiumGear.txt;Envíos y Entregas;Guia_Envios_Entregas_AntiumGear_chunk2.txt;Estructura de Tarifas de Envío al Consumidor  y Protocolo de Envíos Prioritarios y Carga Delicada ;Área Operaciones
Guia_Envios_Entregas_AntiumGear.txt;Envíos y Entregas;Guia_Envios_Entregas_AntiumGear_chunk3.txt;Seguimiento de Envíos y Notificaciones y Protocolo de Recepción Segura y Verificación de Hardware ;Área Operaciones
Guia_Envios_Entregas_AntiumGear.txt;Envíos y Entregas;Guia_Envios_Entregas_AntiumGear_chunk4.txt;Incidencias en la Entrega (Domicilio Incompleto o Ausencia) y Seguros de Transporte y Gestión de Dańos de Logística ;Área Operaciones
Matriz_FAQs_AntiumGear.txt;Preguntas Frecuentes (FAQ);Matriz_FAQs_AntiumGear_chunk1.txt;Despacho, Cobertura y Couriers (Guía de Envíos)  ;Atención al Cliente
Matriz_FAQs_AntiumGear.txt;Preguntas Frecuentes (FAQ);Matriz_FAQs_AntiumGear_chunk2.txt;Procesamiento, Stock y Validación (Términos y Condiciones)   ;Atención al Cliente
Matriz_FAQs_AntiumGear.txt;Preguntas Frecuentes (FAQ);Matriz_FAQs_AntiumGear_chunk3.txt;Derecho de Retracto Comercial (Reembolsos y Devoluciones)   ;Atención al Cliente
Matriz_FAQs_AntiumGear.txt;Preguntas Frecuentes (FAQ);Matriz_FAQs_AntiumGear_chunk4.txt;Garantía Legal y Servicio Técnico (Garantías)  ;Atención al Cliente
Matriz_FAQs_AntiumGear.txt;Preguntas Frecuentes (FAQ);Matriz_FAQs_AntiumGear_chunk5.txt;Seguimiento, Recepción Segura e Incidencias (Logística) ;Atención al Cliente
Matriz_FAQs_AntiumGear.txt;Preguntas Frecuentes (FAQ);Matriz_FAQs_AntiumGear_chunk6.txt;Privacidad, Derechos de Datos y Seguridad (Privacidad) ;Atención al Cliente
Matriz_FAQs_AntiumGear.txt;Preguntas Frecuentes (FAQ);Matriz_FAQs_AntiumGear_chunk7.txt;Cuentas, Plataforma y Soporte General (T&C / FAQs)   ;Atención al Cliente
Matriz_FAQs_AntiumGear.txt;Preguntas Frecuentes (FAQ);Matriz_FAQs_AntiumGear_chunk8.txt;Situaciones Especiales y Casos Borde (Casos Operacionales) ;Atención al Cliente
Politica_Privacidad_AntiumGear_Ltda.txt;Privacidad y Datos;Politica_Privacidad_AntiumGear_Ltda_chunk1.txt;Introducción y Contexto Corporativo y Definiciones Legales y Técnicas Operativas ;Área Legal
Politica_Privacidad_AntiumGear_Ltda.txt;Privacidad y Datos;Politica_Privacidad_AntiumGear_Ltda_chunk2.txt;Principios Rectores del Tratamiento de Datos   y Categorías de Datos Objeto de Tratamiento ;Área Legal
Politica_Privacidad_AntiumGear_Ltda.txt;Privacidad y Datos;Politica_Privacidad_AntiumGear_Ltda_chunk3.txt;Finalidades Explícitas del Tratamiento de Información  y Bases de Licitud y Legitimación Jurídica;Área Legal
Politica_Privacidad_AntiumGear_Ltda.txt;Privacidad y Datos;Politica_Privacidad_AntiumGear_Ltda_chunk4.txt;Comunicaciones, Transferencias y Transmisiones de Datos   y Plazos de Conservación y Destrucción Segura de Información ;Área Legal
Politica_Privacidad_AntiumGear_Ltda.txt;Privacidad y Datos;Politica_Privacidad_AntiumGear_Ltda_chunk5.txt;Derechos de los Titulares (ARCO -PO) y Mecanismos de Ejercicio y Medidas de Seguridad Técnica, Organizativa y Lógica;Área Legal
Politica_Privacidad_AntiumGear_Ltda.txt;Privacidad y Datos;Politica_Privacidad_AntiumGear_Ltda_chunk6.txt;Política de Cookies, Tecnologías de Rastreo y Telemetría  y Tratamiento de Datos de Menores de Edad;Área Legal
Politica_Privacidad_AntiumGear_Ltda.txt;Privacidad y Datos;Politica_Privacidad_AntiumGear_Ltda_chunk7.txt;Autoridad de Control, Modificaciones del Documento y Vigencia  ;Área Legal
Politica_Reembolsos_Devoluciones_AntiumGear.txt;Reembolsos y Devoluciones;Politica_Reembolsos_Devoluciones_AntiumGear_chunk1.txt;Marco Legal y Ámbito de Aplicación  y Derecho de Retracto Comercial  ;Área Finanzas
Politica_Reembolsos_Devoluciones_AntiumGear.txt;Reembolsos y Devoluciones;Politica_Reembolsos_Devoluciones_AntiumGear_chunk2.txt;Garantía Legal (6 Meses)  y Protocolo de Diagnóstico y Servicio Técnico (ST)  ;Área Finanzas
Politica_Reembolsos_Devoluciones_AntiumGear.txt;Reembolsos y Devoluciones;Politica_Reembolsos_Devoluciones_AntiumGear_chunk3.txt;Condiciones de los Productos para Devolución   y Procedimiento para Solicitar un Reembolso o Cambio;Área Finanzas
Politica_Reembolsos_Devoluciones_AntiumGear.txt;Reembolsos y Devoluciones;Politica_Reembolsos_Devoluciones_AntiumGear_chunk4.txt;Plazos y Métodos de Reversión de Fondos  y Exclusiones de Garantía;Área Finanzas
Terminos_Condiciones_AntiumGear.txt;Términos y Condiciones;Terminos_Condiciones_AntiumGear_chunk1.txt;Aspectos Generales y Aceptación de los Términos   y Capacidad Legal del Usuario y Registro de Cuentas;Área Legal
Terminos_Condiciones_AntiumGear.txt;Términos y Condiciones;Terminos_Condiciones_AntiumGear_chunk2.txt;Mecanismo de Compra y Validación de Stock de Hardware  y Condiciones de Precios, Impuestos y Medios de Pago;Área Legal
Terminos_Condiciones_AntiumGear.txt;Términos y Condiciones;Terminos_Condiciones_AntiumGear_chunk3.txt;Despacho, Tiempos de Entrega y Transferencia del Riesgo  y Propiedad Intelectual e Industrial de la Plataforma  ;Área Legal
Terminos_Condiciones_AntiumGear.txt;Términos y Condiciones;Terminos_Condiciones_AntiumGear_chunk4.txt;Responsabilidad del Usuario y Uso Correcto del Sitio y Jurisdicción Aplicable, Competencia y Solución de Controversias ;Área Legal
